"","Predicted","x","y"
"9699",1177.85084302313,141.5,38.5
"9699.1",8591.92730855192,141.5,38.5
"9884",1177.85084302313,141.5,37.5
"9884.1",8591.92730855192,141.5,37.5
"11381",2131.86526322273,61.5,28.5
"11382",2131.86526322273,62.5,28.5
"11405",1434.77408070658,85.5,28.5
"11406",1434.77408070658,86.5,28.5
"11407",967.499887151321,87.5,28.5
"11408",967.499887151321,88.5,28.5
"11551",2131.86526322273,61.5,27.5
"11552",2131.86526322273,62.5,27.5
"11575",1434.77408070658,85.5,27.5
"11576",1434.77408070658,86.5,27.5
"11577",967.499887151321,87.5,27.5
"11578",967.499887151321,88.5,27.5
"11615",2354.24372077246,140.5,27.5
"13147",1583.83881860865,-98.5,16.5
"13148",1583.83881860865,-97.5,16.5
"13271",1583.83881860865,-97.5,15.5
"13394",1583.83881860865,-92.5,14.5
"13395",1583.83881860865,-91.5,14.5
"13509",1583.83881860865,-91.5,13.5
"13952",1177.85084302313,123.5,10.5
"13953",1177.85084302313,124.5,10.5
"14076",1177.85084302313,123.5,9.5
"14077",1177.85084302313,124.5,9.5
"14783",1434.77408070658,-76.5,2.5
"14784",1434.77408070658,-75.5,2.5
"14883",1434.77408070658,-76.5,1.5
"14884",1434.77408070658,-75.5,1.5
"14987",967.499887151321,-80.5,0.5
"14987.1",2354.24372077246,-80.5,0.5
"14988",967.499887151321,-79.5,0.5
"14988.1",2354.24372077246,-79.5,0.5
"15096",967.499887151321,-80.5,-0.5
"15096.1",2354.24372077246,-80.5,-0.5
"15097",967.499887151321,-79.5,-0.5
"15097.1",2354.24372077246,-79.5,-0.5
"15572",967.499887151322,129.5,-3.5
"15573",967.499887151322,130.5,-3.5
"15580",1067.42096912413,137.5,-3.5
"15581",1067.42096912413,138.5,-3.5
"15591",1434.77408070658,153.5,-3.5
"15592",1434.77408070658,154.5,-3.5
"15687",967.499887151322,129.5,-4.5
"15688",967.499887151322,130.5,-4.5
"15695",1067.42096912413,137.5,-4.5
"15696",1067.42096912413,138.5,-4.5
"15709",1434.77408070658,153.5,-4.5
"15710",1434.77408070658,154.5,-4.5
"16420",1067.42096912413,165.5,-10.5
"16421",1067.42096912413,166.5,-10.5
"16614",967.499887151322,-76.5,-13.5
"16615",967.499887151322,-75.5,-13.5
"16717",967.499887151322,-76.5,-14.5
"16718",967.499887151322,-75.5,-14.5
"17156",1177.85084302313,168.5,-17.5
"17156.1",1299.89472814306,168.5,-17.5
"17269",1177.85084302313,168.5,-18.5
"17269.1",1299.89472814306,168.5,-18.5
"17275",967.499887151322,-178.5,-19.5
"17275.1",1177.85084302313,-178.5,-19.5
"17275.2",967.499887151321,-178.5,-19.5
"17389",967.499887151322,-178.5,-20.5
"17389.1",1177.85084302313,-178.5,-20.5
"17389.2",967.499887151321,-178.5,-20.5
"17502",877.087553331686,167.5,-20.5
"17502.1",1434.77408070658,167.5,-20.5
"17504",967.499887151322,-178.5,-21.5
"18282",967.499887151322,-71.5,-29.5
"18282.1",967.499887151322,-71.5,-29.5
"18362",967.499887151322,-71.5,-30.5
"18362.1",967.499887151322,-71.5,-30.5
"18438",3870.19287411207,-71.5,-31.5
"18514",3870.19287411207,-71.5,-32.5
