"","r1","Predicted","x","y"
"9699",705532.812,1177.85084302313,141.5,38.5
"9699.1",705532.812,8591.92730855192,141.5,38.5
"9884",20234.801,1177.85084302313,141.5,37.5
"9884.1",20234.801,8591.92730855192,141.5,37.5
"11381",98289.406,2131.86526322273,61.5,28.5
"11382",32082.689,2131.86526322273,62.5,28.5
"11405",102551.602,1434.77408070658,85.5,28.5
"11406",31614.9,1434.77408070658,86.5,28.5
"11407",66143.242,967.499887151321,87.5,28.5
"11408",44090.891,967.499887151321,88.5,28.5
"11551",107729.797,2131.86526322273,61.5,27.5
"11552",79141.594,2131.86526322273,62.5,27.5
"11575",9960144,1434.77408070658,85.5,27.5
"11576",875517.312,1434.77408070658,86.5,27.5
"11577",726640.812,967.499887151321,87.5,27.5
"11578",1663170,967.499887151321,88.5,27.5
"11615",16.58,2354.24372077246,140.5,27.5
"13147",436637.188,1583.83881860865,-98.5,16.5
"13148",393073.406,1583.83881860865,-97.5,16.5
"13271",90441.273,1583.83881860865,-97.5,15.5
"13394",963177.375,1583.83881860865,-92.5,14.5
"13395",3803213,1583.83881860865,-91.5,14.5
"13509",28182.24,1583.83881860865,-91.5,13.5
"13952",5661041,1177.85084302313,123.5,10.5
"13953",1685601,1177.85084302313,124.5,10.5
"14076",1894167,1177.85084302313,123.5,9.5
"14077",695205.188,1177.85084302313,124.5,9.5
"14783",1205603,1434.77408070658,-76.5,2.5
"14784",783269.812,1434.77408070658,-75.5,2.5
"14883",554000.625,1434.77408070658,-76.5,1.5
"14884",431444.406,1434.77408070658,-75.5,1.5
"14987",16453.75,967.499887151321,-80.5,0.5
"14987.1",16453.75,2354.24372077246,-80.5,0.5
"14988",599065.812,967.499887151321,-79.5,0.5
"14988.1",599065.812,2354.24372077246,-79.5,0.5
"15096",543731.125,967.499887151321,-80.5,-0.5
"15096.1",543731.125,2354.24372077246,-80.5,-0.5
"15097",1040437,967.499887151321,-79.5,-0.5
"15097.1",1040437,2354.24372077246,-79.5,-0.5
"15572",261547.5,967.499887151322,129.5,-3.5
"15573",122058.703,967.499887151322,130.5,-3.5
"15580",479863.594,1067.42096912413,137.5,-3.5
"15581",654222.625,1067.42096912413,138.5,-3.5
"15591",1322.898,1434.77408070658,153.5,-3.5
"15592",190.002,1434.77408070658,154.5,-3.5
"15687",1010.56,967.499887151322,129.5,-4.5
"15688",97.408,967.499887151322,130.5,-4.5
"15695",468743.812,1067.42096912413,137.5,-4.5
"15696",369660,1067.42096912413,138.5,-4.5
"15709",10138.99,1434.77408070658,153.5,-4.5
"15710",1831.045,1434.77408070658,154.5,-4.5
"16420",10721.66,1067.42096912413,165.5,-10.5
"16421",8836.05,1067.42096912413,166.5,-10.5
"16614",483236.5,967.499887151322,-76.5,-13.5
"16615",146659.5,967.499887151322,-75.5,-13.5
"16717",29728.311,967.499887151322,-76.5,-14.5
"16718",378267.094,967.499887151322,-75.5,-14.5
"17156",106127.5,1177.85084302313,168.5,-17.5
"17156.1",106127.5,1299.89472814306,168.5,-17.5
"17269",33.178,1177.85084302313,168.5,-18.5
"17269.1",33.178,1299.89472814306,168.5,-18.5
"17275",542.2,967.499887151322,-178.5,-19.5
"17275.1",542.2,1177.85084302313,-178.5,-19.5
"17275.2",542.2,967.499887151321,-178.5,-19.5
"17389",361.147,967.499887151322,-178.5,-20.5
"17389.1",361.147,1177.85084302313,-178.5,-20.5
"17389.2",361.147,967.499887151321,-178.5,-20.5
"17502",3515.299,877.087553331686,167.5,-20.5
"17502.1",3515.299,1434.77408070658,167.5,-20.5
"17504",40.167,967.499887151322,-178.5,-21.5
"18282",202482.797,967.499887151322,-71.5,-29.5
"18282.1",202482.797,967.499887151322,-71.5,-29.5
"18362",429814.906,967.499887151322,-71.5,-30.5
"18362.1",429814.906,967.499887151322,-71.5,-30.5
"18438",55847.141,3870.19287411207,-71.5,-31.5
"18514",591119.375,3870.19287411207,-71.5,-32.5
